Date,Company,Product,Units
3/22/2015 14:42,Mediacore,Software,6
3/12/2015 18:33,Initech,Service,19
3/22/2015 3:58,Streeplex,Software,8
3/15/2015 0:53,Hooli,Hardware,19
3/17/2015 19:25,Hooli,Hardware,10
3/16/2015 5:54,Mediacore,Software,3
3/25/2015 10:18,Initech,Hardware,9
3/25/2015 16:42,Streeplex,Hardware,12
3/26/2015 5:20,Streeplex,Software,3
3/6/2015 10:11,Mediacore,Software,17
3/22/2015 21:14,Initech,Hardware,11
3/17/2015 19:38,Hooli,Hardware,8
3/28/2015 19:20,Acme Coporation,Service,5
3/13/2015 4:41,Streeplex,Hardware,8
3/6/2015 2:03,Mediacore,Software,17
3/13/2015 11:40,Initech,Software,11
3/27/2015 8:29,Mediacore,Software,6
3/21/2015 6:42,Mediacore,Hardware,19
3/15/2015 8:50,Initech,Hardware,18
3/13/2015 16:25,Streeplex,Software,9
